Čas,Liga,Stav,Domácí,Hosté,Skóre,xG Dom,xG Hos,Střely D,Střely H,Sance D,Sance H
13:00,Regionalliga West,Postponed,SC Wiedenbrück,1. FC Bocholt,0-0,0,0,0,0,0,0
13:00,Regionalliga West,Postponed,SSVg Velbert,VfL Bochum 1848 II,0-0,0,0,0,0,0,0
13:00,Regionalliga West,Postponed,SV Rödinghausen,Wuppertaler SV,0-0,0,0,0,0,0,0
13:00,Regionalliga West,Not started,1. FC Köln II U23,SC Paderborn 07 II U21,0-0,0,0,0,0,0,0
15:00,Premier League,Ended,Vision FC,Dreams,2-2,0,0,0,0,0,0
15:30,Premier League,Ended,Heart of Lions,Asante Kotoko SC,3-1,0,0,0,0,0,0
15:00,Premier League,Not started,Accra Hearts of Oak,Bechem United,0-0,0,0,0,0,0,0
15:00,Premier League,Not started,Aduana Stars FC,Samartex,0-0,0,0,0,0,0,0
15:00,Premier League,Not started,Basake Holy Stars FC,Berekum Chelsea,0-0,0,0,0,0,0,0
15:00,Premier League,Not started,Bibiani Gold Stars FC,Swedru All Blacks United FC,0-0,0,0,0,0,0,0
15:00,Premier League,Not started,Karela United,Hohoe United FC,0-0,0,0,0,0,0,0
15:00,Premier League,Not started,Young Apostles FC,Eleven Wonders,0-0,0,0,0,0,0,0
21:00,"Liga Guate Banrural, Clausura",Ended,Deportivo Mixco,Cobán Imperial,1-1,0,0,0,0,0,0
23:00,"Liga Guate Banrural, Clausura",Ended,CSD Municipal,Deportivo Guastatoya,2-1,0,0,0,0,0,0
01:00,"Liga Guate Banrural, Clausura",Ended,CSD Xelajú MC,Comunicaciones FC,2-0,0,0,0,0,0,0
03:00,"Liga Guate Banrural, Clausura",Ended,CD Marquense,Antigua GFC,1-1,0,0,0,0,0,0
17:00,"Liga Guate Banrural, Clausura",Not started,Aurora FC,Deportivo Malacateco,0-0,0,0,0,0,0,0
00:00,"Liga Guate Banrural, Clausura",Not started,CD Mictlán,Deportivo Achuapa,0-0,0,0,0,0,0,0
12:00,Indonesia Super League,Ended,Madura United FC,PSBS Biak,0-0,0,0,0,0,0,0
08:30,Indonesia Super League,Ended,Borneo FC Samarinda,PSIM Yogyakarta,2-1,0,0,0,0,0,0
12:00,Indonesia Super League,Not started,Persebaya Surabaya,Dewa United FC,0-0,0,0,0,0,0,0
08:30,Indonesia Super League,Not started,Arema FC,Persijap Jepara,0-0,0,0,0,0,0,0
11:30,Pro League,Not started,Esteghlal Khuzestan,Aluminium Arak,0-0,0,0,0,0,0,0
11:30,Pro League,Not started,Shams Azar Qazvin,Mes Rafsanjan FC,0-0,0,0,0,0,0,0
11:30,Pro League,Not started,Tractor FC,Sepahan S.C.,0-0,0,0,0,0,0,0
13:30,Pro League,Not started,Paykan,Esteghlal FC,0-0,0,0,0,0,0,0
11:30,Pro League,Not started,Zob Ahan,Fajr Sepasi FC,0-0,0,0,0,0,0,0
17:00,FAI Presidents Cup,Ended,Shamrock Rovers,Derry City,0-1,0,0,0,0,0,0
13:30,"Serie C, Group A",Ended,Arzignano Valchiampo,Triestina,4-1,1.77,0.73,15,11,0,0
13:30,"Serie C, Group A",Ended,Dolomiti Bellunesi,Virtus Verona,1-0,2.26,0.73,19,8,0,0
13:30,"Serie C, Group A",Ended,Trento,Lecco,1-1,2.78,1.63,15,12,0,0
16:30,"Serie C, Group A",Ended,Inter U23,Pergolettese,1-1,2.34,1.08,19,8,0,0
16:30,"Serie C, Group A",Ended,Ospitaletto Franciacorta,Lumezzane,1-2,0,0,0,0,0,0
11:30,"Serie C, Group A",Not started,Aurora Pro Patria,L.R. Vicenza,0-0,0,0,0,0,0,0
11:30,"Serie C, Group A",Not started,Cittadella,AlbinoLeffe,0-0,0,0,0,0,0,0
13:30,"Serie C, Group A",Not started,Pro Vercelli,Novara,0-0,0,0,0,0,0,0
13:30,"Serie C, Group B",Ended,Pianese,Vis Pesaro,1-2,1.34,1.99,8,12,0,0
16:30,"Serie C, Group B",Ended,Bra,Gubbio,1-0,1.88,0.31,12,5,0,0
16:30,"Serie C, Group B",Ended,Campobasso FC,Pontedera,3-2,1.79,1.55,18,8,0,0
16:30,"Serie C, Group B",Ended,Carpi,Sambenedettese,0-0,1.89,0.99,16,11,0,0
13:30,"Serie C, Group B",Not started,Juventus Next Gen U23,Pineto,0-0,0,0,0,0,0,0
13:30,"Serie C, Group B",Not started,Ternana,Torres,0-0,0,0,0,0,0,0
13:30,"Serie C, Group C",Ended,Cavese,Casarano,1-1,1.55,0.96,16,3,0,0
13:30,"Serie C, Group C",Ended,Sorrento,Catania,3-1,1.44,2.03,7,12,0,0
13:30,"Serie C, Group C",Not started,Atalanta U23,Benevento,0-0,0,0,0,0,0,0
13:30,"Serie C, Group C",Not started,Monopoli,Latina,0-0,0,0,0,0,0,0
13:30,"Serie C, Group C",Not started,Trapani,Team Altamura,0-0,0,0,0,0,0,0
16:30,"Serie C, Group C",Not started,AZ Picerno,Potenza Calcio,0-0,0,0,0,0,0,0
16:30,"Serie C, Group C",Not started,Cosenza,Casertana,0-0,0,0,0,0,0,0
16:30,"Serie C, Group C",Not started,Siracusa Calcio,Crotone,0-0,0,0,0,0,0,0
19:30,"Serie C, Group C",Not started,Foggia,Audace Cerignola,0-0,0,0,0,0,0,0
19:30,"Serie C, Group C",Not started,Salernitana,Giugliano,0-0,0,0,0,0,0,0
10:00,Primavera 1,Ended,Frosinone U20,Parma U20,2-3,0,0,0,0,0,0
10:00,Primavera 1,Ended,Napoli U20,Cesena U20,2-1,3.42,1.78,25,9,0,0
12:00,Primavera 1,Ended,Bologna U20,Juventus U20,3-3,1.63,2.41,11,13,0,0
14:00,Primavera 1,Ended,Sassuolo U20,Monza U20,0-1,1.18,0.45,16,5,0,0
14:00,Primavera 1,Ended,Torino U20,Fiorentina U20,1-1,1.00,1.77,11,16,0,0
10:00,Primavera 1,2nd half,Hellas Verona U20,Milan U20,1-0,0,0,0,0,0,0
12:00,Primavera 1,Not started,Lecce U20,Roma U20,0-0,0,0,0,0,0,0
14:00,Primavera 1,Not started,Genoa U20,Cagliari U20,0-0,0,0,0,0,0,0
11:00,Primavera 1,Not started,Lazio U20,Atalanta U20,0-0,0,0,0,0,0,0
12:15,Super League,Ended,Brunei DPMM FC,Melaka FC,1-1,1.42,0.69,11,15,0,0
12:15,Super League,Ended,Kuching City,Negeri Sembilan,2-0,2.05,0.41,13,7,0,0
13:00,Super League,Ended,Kelantan The Real Warriors FC,Penang,1-1,0,0,0,0,0,0
12:15,Super League,Not started,Johor Darul Ta'zim,Immigration FC,0-0,0,0,0,0,0,0
13:00,Super League,Not started,Terengganu,Selangor Football Club,0-0,0,0,0,0,0,0
13:00,"Premier League, Closing Round",Ended,Tarxien Rainbows FC,Gżira United FC,1-2,0,0,0,0,0,0
15:30,"Premier League, Closing Round",Ended,Birkirkara FC,Marsaxlokk FC,0-1,0,0,0,0,0,0
15:30,"Premier League, Closing Round",Ended,Ħamrun Spartans FC,Sliema Wanderers,2-0,0,0,0,0,0,0
18:00,"Premier League, Closing Round",Ended,Hibernians,Mosta FC,1-0,0,0,0,0,0,0
13:00,"Premier League, Closing Round",Not started,Valletta FC,Naxxar Lions FC,0-0,0,0,0,0,0,0
18:00,"Premier League, Closing Round",Not started,Floriana FC,Zabbar Saint Patrick FC,0-0,0,0,0,0,0,0
18:00,"Premier League, Closing Round",Not started,Zabbar Saint Patrick FC,Floriana FC,0-0,0,0,0,0,0,0
01:00,"Liga de Expansion MX, Clausura",Postponed,C.D. Irapuato,Atlante FC,0-0,0,0,0,0,0,0
01:00,"Liga de Expansion MX, Clausura",Ended,Club Atlético Morelia,Cancún FC,0-1,0,0,0,0,0,0
15:00,Botola Pro,Ended,Hassania d'Agadir,Union Sportive Yacoub El Mansour,2-0,0.59,0.31,6,8,0,0
17:00,Botola Pro,Ended,CODM Meknès,Union Touarga Sport,1-1,1.20,0.91,13,7,0,0
19:00,Botola Pro,Ended,Difaâ Hassani El-Jadidi,MAS de Fès,0-0,0.00,0.82,0,10,0,0
15:00,Botola Pro,Not started,Ittihad Tanger,Kawkab Athletic Club Marrakech,0-0,0,0,0,0,0,0
17:00,Botola Pro,Not started,Raja Club Athletic,Renaissance Zemamra,0-0,0,0,0,0,0,0
15:00,Premiership,Ended,Bangor FC,Coleraine FC,0-2,0,0,0,0,0,0
15:00,Premiership,Ended,Crusaders FC,Larne FC,2-4,0,0,0,0,0,0
15:00,Premiership,Ended,Dungannon Swifts,Glentoran FC,0-2,0,0,0,0,0,0
15:00,Premiership,Ended,Glenavon,Cliftonville FC,2-1,0,0,0,0,0,0
15:00,Premiership,Ended,Linfield FC,Ballymena United,2-1,0,0,0,0,0,0
17:30,Premiership,Ended,Portadown FC,Carrick Rangers,0-3,0,0,0,0,0,0
21:00,"División de Honor, Apertura",Ended,Nacional Asunción,CS 2 de Mayo,5-1,0,0,14,5,6,0
23:15,"División de Honor, Apertura",Ended,Sportivo Ameliano,Sportivo San Lorenzo,1-0,0,0,13,9,1,1
21:00,"División de Honor, Apertura",Not started,Olimpia,Sportivo Trinidense,0-0,0,0,0,0,0,0
23:15,"División de Honor, Apertura",Not started,Guaraní,Rubio Ñu,0-0,0,0,0,0,0,0
11:00,Liga Portugal 2,Ended,Felgueiras,Chaves,1-0,0,0,0,0,0,0
14:00,Liga Portugal 2,Ended,Académico Viseu FC,Torreense,1-0,0,0,0,0,0,0
18:00,Liga Portugal 2,Ended,SC Farense,FC Porto B,2-3,0,0,0,0,0,0
20:30,Liga Portugal 2,Ended,Vizela,Portimonense SAD,1-1,0,0,0,0,0,0
11:00,Liga Portugal 2,1st half,Sporting CP B U21,UD Oliveirense,0-0,0,0,0,0,0,0
11:00,Liga Portugal 2,Postponed,União de Leiria,Paços de Ferreira,0-0,0,0,0,0,0,0
14:00,Liga Portugal 2,Not started,Feirense,Marítimo,0-0,0,0,0,0,0,0
15:00,"Campeonato de Portugal, Group A",Ended,AD Camacha,Vilaverdense FC,1-0,0,0,0,0,0,0
15:00,"Campeonato de Portugal, Group A",Ended,AD Machico,CD Celoricense,1-0,0,0,0,0,0,0
15:00,"Campeonato de Portugal, Group A",Ended,CD Ribeira Brava,AR São Martinho,0-1,0,0,0,0,0,0
15:00,"Campeonato de Portugal, Group B",Not started,AC Vila Meã,SC Vila Real,0-0,0,0,0,0,0,0
15:00,"Campeonato de Portugal, Group D",Ended,LGC Moncarapachense,GD Alcochetense,1-3,0,0,0,0,0,0
10:30,"U23 Championship, Championship Round",Ended,Sporting U23,Torreense U23,1-2,0,0,0,0,0,0
11:00,"U23 Championship, Championship Round",Ended,Leixões SC U23,Benfica U23,2-5,0,0,0,0,0,0
15:00,Championship,Ended,Ayr United,Raith Rovers,2-1,0,0,0,0,0,0
15:00,Championship,Ended,Dunfermline Athletic,Airdrieonians,0-2,0,0,0,0,0,0
15:00,Championship,Ended,Greenock Morton,Ross County,2-1,0,0,0,0,0,0
15:00,Championship,Ended,Queen's Park FC,Arbroath,2-1,0,0,0,0,0,0
15:00,League One,Ended,Alloa Athletic,Cove Rangers,2-2,0,0,0,0,0,0
15:00,League One,Ended,East Fife,Montrose,2-3,0,0,0,0,0,0
15:00,League One,Ended,Kelty Hearts F.C.,Hamilton Academical,0-0,0,0,0,0,0,0
15:00,League One,Ended,Queen of The South,Inverness Caledonian Thistle,2-2,0,0,0,0,0,0
15:00,League One,Ended,Stenhousemuir,Peterhead,2-2,0,0,0,0,0,0
15:00,League Two,Ended,Annan Athletic,Clyde FC,1-1,0,0,0,0,0,0
15:00,League Two,Ended,Dumbarton,Edinburgh City F.C.,1-2,0,0,0,0,0,0
15:00,League Two,Ended,East Kilbride,Forfar Athletic,3-1,0,0,0,0,0,0
15:00,League Two,Ended,Elgin City,The Spartans FC,3-3,0,0,0,0,0,0
15:00,League Two,Ended,Stirling Albion,Stranraer,1-1,0,0,0,0,0,0
11:30,Premier League,Postponed,Balestier Khalsa,Tampines Rovers,0-0,0,0,0,0,0,0
11:30,Premier League,Ended,Tampines Rovers,Tanjong Pagar United,2-1,3.64,1.02,24,9,0,0
11:30,Premier League,Not started,Lion City Sailors,Balestier Khalsa,0-0,0,0,0,0,0,0
11:30,Premier League,Not started,Albirex Niigata Singapore,Geylang International,0-0,0,0,0,0,0,0
14:00,PrvaLiga,Ended,NK Olimpija Ljubljana,NŠ Mura,1-0,0,0,0,0,0,0
16:30,PrvaLiga,Ended,FC Koper,NK Bravo,6-2,0,0,0,0,0,0
14:00,PrvaLiga,Not started,NK Maribor,NK Celje,0-0,0,0,0,0,0,0
13:00,Challenge League,Not started,FC Wil 1900,Stade Nyonnais,0-0,0,0,0,0,0,0
13:00,Ligue 1,Ended,Club Africain,CA Bizertin,1-0,0,0,0,0,0,0
13:00,Ligue 1,Ended,JS Kairouanaise,Olympique Béja,1-0,0,0,0,0,0,0
13:00,Ligue 1,Ended,US Ben Guerdane,ES Zarzis,0-0,0,0,0,0,0,0
13:00,Ligue 1,Not started,Avenir Sportif De Gabes,Etoile Sportive Du Sahel,0-0,0,0,0,0,0,0
13:00,Ligue 1,Not started,ES Métlaoui,Stade Tunisien,0-0,0,0,0,0,0,0
13:00,Ligue 1,Not started,JS Omrane,CS Sfaxien,0-0,0,0,0,0,0,0
13:00,Ligue 1,Not started,US Monastir,Avenir Sportif De La Marsa,0-0,0,0,0,0,0,0
23:00,Supercopa Uruguaya,Not started,Peñarol,Nacional,0-0,0,0,0,0,0,0
22:00,MLS Pre Season,Ended,Inter Miami CF,Atlético Nacional,2-1,0,0,13,15,2,0
22:00,USL Super League,Ended,Dallas Trinity,Brooklyn FC,1-1,0,0,5,14,0,2
22:00,USL Super League,Ended,Sporting Jacksonville,Carolina Ascent,1-0,0,0,12,13,2,3
00:30,USL Super League,Ended,Fort Lauderdale United,Lexington SC,1-3,0,0,10,15,0,2
00:30,USL Super League,Ended,Tampa Bay Sun FC,Spokane Zephyr FC,2-2,0,0,13,12,1,2
19:30,"Primera Division, Apertura",Ended,Rayo Zuliano,Zamora,0-1,0,0,5,13,0,2
21:00,"Primera Division, Apertura",Ended,Carabobo,Portuguesa FC,0-0,0,0,11,13,0,0
23:00,"Primera Division, Apertura",Ended,Deportivo La Guaira,Monagas,2-0,0,0,13,9,0,0
21:00,"Primera Division, Apertura",Not started,Estudiantes de Mérida,Caracas F.C.,0-0,0,0,0,0,0,0
23:00,"Primera Division, Apertura",Not started,Universidad Central,Trujillanos FC,0-0,0,0,0,0,0,0
11:00,V-League 1,Ended,Hải Phòng,Thể Công - Viettel,1-2,0,0,0,0,0,0
11:00,V-League 1,Ended,Sông Lam Nghệ An,Hà Nội,1-3,1.42,0.95,14,9,0,0
10:00,V-League 1,2nd half,Hoàng Anh Gia Lai,SHB Đà Nẵng,0-0,0,0,0,0,0,0
11:00,V-League 1,1st half,Đông Á Thanh Hóa,Nam Định,0-1,0,0,0,0,0,0
11:00,V-League 1,1st half,PVF-Công An Nhân Dân,Công An Hồ Chí Minh City,0-0,0,0,0,0,0,0
12:15,V-League 1,Not started,Công An Hà Nội,Ninh Bình FC,0-0,0,0,0,0,0,0
10:00,Club Friendly Games,Ended,Artis Brno B,SK Sulko Zabreh,4-1,0,0,0,0,0,0
10:00,Club Friendly Games,Ended,Concordia Chiajna,FC Voluntari,2-0,0,0,0,0,0,0
10:00,Club Friendly Games,Ended,CSM Unirea Alba Iulia,FC Corvinul Hunedoara,1-1,0,0,0,0,0,0
10:00,Club Friendly Games,Ended,FC Petržalka 1898,Vysočina Jihlava,2-2,0,0,0,0,0,0
10:00,Club Friendly Games,Ended,FK Frydek Mistek,FC Vsetín,4-1,0,0,0,0,0,0
10:00,Club Friendly Games,Ended,NK Jarun,NK Radnik Križevci,3-1,0,0,0,0,0,0
10:15,Club Friendly Games,Ended,Ilves/2,Inter Turku/2,3-2,0,0,0,0,0,0
10:20,Club Friendly Games,Ended,Start Brno,FC Kurim,3-2,0,0,0,0,0,0
11:00,Club Friendly Games,Ended,Vidar,Egersund,1-4,0,0,0,0,0,0
12:00,Club Friendly Games,Ended,MŠK Žilina,Slezský FC Opava,1-0,0,0,0,0,0,0
12:30,Club Friendly Games,Ended,SAK Klagenfurt,Annabichler SV,4-0,0,0,0,0,0,0
13:00,Club Friendly Games,Ended,Räppe GoIF,FK Karlskrona,1-0,0,0,0,0,0,0
13:00,Club Friendly Games,Ended,SK Slovan HAC,Favoritner AC,3-6,0,0,0,0,0,0
13:15,Club Friendly Games,Ended,NK Dubrava Tim Kabel,NK Opatija,1-2,0,0,0,0,0,0
13:30,Club Friendly Games,Ended,Austria Klagenfurt,Triglav Kranj,0-4,0,0,0,0,0,0
13:30,Club Friendly Games,Ended,IK Oddevold,FBK Karlstad,1-0,0,0,0,0,0,0
14:00,Club Friendly Games,Ended,DAC 1904,AS Trenčín,0-0,0,0,0,0,0,0
03:00,Club Friendly Games,Ended,Barcelona SC Guayaquil,Guayaquil City,0-1,0,0,0,0,0,0
11:00,Club Friendly Games,1st half,Daejeon Hana Citizen,Västerås SK,0-0,0,0,0,0,0,0
13:00,Club Friendly Games,Not started,Sarpsborg 08,Östers IF,0-0,0,0,0,0,0,0
